Zone_ID,Year,Month,Day,Week,Hour,Predict_HireCount,Temp
1,2018,11,1,Thu,20,1,5.0
1,2018,11,1,Thu,20,1,15.0
1,2018,11,1,Thu,20,1,25.0
1,2018,11,1,Thu,20,1,35.0
2,2018,11,1,Thu,20,0,5.0
2,2018,11,1,Thu,20,0,15.0
2,2018,11,1,Thu,20,0,25.0
2,2018,11,1,Thu,20,0,35.0
3,2018,11,1,Thu,20,103,5.0
3,2018,11,1,Thu,20,103,15.0
3,2018,11,1,Thu,20,102,25.0
3,2018,11,1,Thu,20,102,35.0
4,2018,11,1,Thu,20,18,5.0
4,2018,11,1,Thu,20,18,15.0
4,2018,11,1,Thu,20,18,25.0
4,2018,11,1,Thu,20,18,35.0
5,2018,11,1,Thu,20,158,5.0
5,2018,11,1,Thu,20,157,15.0
5,2018,11,1,Thu,20,156,25.0
5,2018,11,1,Thu,20,155,35.0
6,2018,11,1,Thu,20,0,5.0
6,2018,11,1,Thu,20,0,15.0
6,2018,11,1,Thu,20,0,25.0
6,2018,11,1,Thu,20,0,35.0
7,2018,11,1,Thu,20,0,5.0
7,2018,11,1,Thu,20,0,15.0
7,2018,11,1,Thu,20,0,25.0
7,2018,11,1,Thu,20,0,35.0
8,2018,11,1,Thu,20,109,5.0
8,2018,11,1,Thu,20,110,15.0
8,2018,11,1,Thu,20,109,25.0
8,2018,11,1,Thu,20,107,35.0
9,2018,11,1,Thu,20,117,5.0
9,2018,11,1,Thu,20,116,15.0
9,2018,11,1,Thu,20,114,25.0
9,2018,11,1,Thu,20,111,35.0
10,2018,11,1,Thu,20,75,5.0
10,2018,11,1,Thu,20,75,15.0
10,2018,11,1,Thu,20,74,25.0
10,2018,11,1,Thu,20,73,35.0
11,2018,11,1,Thu,20,0,5.0
11,2018,11,1,Thu,20,0,15.0
11,2018,11,1,Thu,20,0,25.0
11,2018,11,1,Thu,20,0,35.0
12,2018,11,1,Thu,20,0,5.0
12,2018,11,1,Thu,20,0,15.0
12,2018,11,1,Thu,20,0,25.0
12,2018,11,1,Thu,20,0,35.0
13,2018,11,1,Thu,20,53,5.0
13,2018,11,1,Thu,20,53,15.0
13,2018,11,1,Thu,20,52,25.0
13,2018,11,1,Thu,20,51,35.0
14,2018,11,1,Thu,20,48,5.0
14,2018,11,1,Thu,20,47,15.0
14,2018,11,1,Thu,20,47,25.0
14,2018,11,1,Thu,20,46,35.0
15,2018,11,1,Thu,20,66,5.0
15,2018,11,1,Thu,20,66,15.0
15,2018,11,1,Thu,20,65,25.0
15,2018,11,1,Thu,20,64,35.0
16,2018,11,1,Thu,20,0,5.0
16,2018,11,1,Thu,20,0,15.0
16,2018,11,1,Thu,20,0,25.0
16,2018,11,1,Thu,20,0,35.0
17,2018,11,1,Thu,20,0,5.0
17,2018,11,1,Thu,20,0,15.0
17,2018,11,1,Thu,20,0,25.0
17,2018,11,1,Thu,20,0,35.0
18,2018,11,1,Thu,20,10,5.0
18,2018,11,1,Thu,20,10,15.0
18,2018,11,1,Thu,20,10,25.0
18,2018,11,1,Thu,20,10,35.0
19,2018,11,1,Thu,20,29,5.0
19,2018,11,1,Thu,20,29,15.0
19,2018,11,1,Thu,20,29,25.0
19,2018,11,1,Thu,20,29,35.0
20,2018,11,1,Thu,20,45,5.0
20,2018,11,1,Thu,20,46,15.0
20,2018,11,1,Thu,20,45,25.0
20,2018,11,1,Thu,20,45,35.0
21,2018,11,1,Thu,20,0,5.0
21,2018,11,1,Thu,20,0,15.0
21,2018,11,1,Thu,20,0,25.0
21,2018,11,1,Thu,20,0,35.0
22,2018,11,1,Thu,20,0,5.0
22,2018,11,1,Thu,20,0,15.0
22,2018,11,1,Thu,20,0,25.0
22,2018,11,1,Thu,20,0,35.0
23,2018,11,1,Thu,20,0,5.0
23,2018,11,1,Thu,20,0,15.0
23,2018,11,1,Thu,20,0,25.0
23,2018,11,1,Thu,20,0,35.0
24,2018,11,1,Thu,20,26,5.0
24,2018,11,1,Thu,20,25,15.0
24,2018,11,1,Thu,20,24,25.0
24,2018,11,1,Thu,20,23,35.0
25,2018,11,1,Thu,20,34,5.0
25,2018,11,1,Thu,20,34,15.0
25,2018,11,1,Thu,20,35,25.0
25,2018,11,1,Thu,20,36,35.0
